epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,10218.3,1.00886,0.0677,0.04151,0.62101,0.89775,0.77771,0.74687,0.79877,0.5652,0.80755,0.80089,0.86373,0.85933,0.9335,0.06476,0.00612,0.62024,0.88917,0.000357893,0.000357893,0.000357893
56,10400.8,1.0032,0.06713,0.0406,0.61699,0.89559,0.79864,0.74146,0.80035,0.56449,0.81571,0.80703,0.8651,0.8607,0.93241,0.06574,0.00294,0.62001,0.88888,0.00035028,0.00035028,0.00035028
57,10584.3,1.00679,0.06711,0.03928,0.62065,0.8946,0.78886,0.72983,0.79425,0.56122,0.80823,0.79461,0.86061,0.85631,0.93525,0.06551,0.00287,0.63233,0.89148,0.000342666,0.000342666,0.000342666
58,10765.9,1.00327,0.06602,0.04068,0.61844,0.89552,0.79121,0.74126,0.79839,0.56356,0.8192,0.80247,0.86633,0.86198,0.92854,0.06481,0.00338,0.62217,0.88872,0.000335053,0.000335053,0.000335053
59,10949.2,1.00375,0.06646,0.04083,0.61129,0.89295,0.79011,0.74545,0.80299,0.56796,0.81586,0.79775,0.86661,0.86224,0.92481,0.06459,0.00247,0.60734,0.88522,0.00032744,0.00032744,0.00032744
60,11132,0.99146,0.06585,0.0398,0.6045,0.89104,0.79349,0.73904,0.80187,0.56552,0.81355,0.80572,0.86786,0.86378,0.92672,0.06364,0.00355,0.60659,0.8851,0.000319827,0.000319827,0.000319827
61,11314.3,0.99899,0.0666,0.04002,0.60728,0.89005,0.79917,0.74366,0.80263,0.56565,0.82618,0.79999,0.86969,0.86553,0.92502,0.06377,0.00426,0.60405,0.88454,0.000312214,0.000312214,0.000312214
62,11497,0.99482,0.0658,0.04096,0.60446,0.8902,0.78766,0.74346,0.79778,0.56336,0.8192,0.80077,0.86584,0.8617,0.931,0.06364,0.00281,0.62109,0.88821,0.000304601,0.000304601,0.000304601
63,11679.6,0.98066,0.06487,0.0397,0.59345,0.88931,0.80111,0.73987,0.80235,0.56962,0.8248,0.80375,0.87091,0.8666,0.91998,0.06292,0.00152,0.59738,0.8861,0.000296988,0.000296988,0.000296988
64,11862.3,0.98079,0.06453,0.03847,0.59535,0.88754,0.79305,0.74971,0.8006,0.56754,0.82243,0.806,0.86812,0.86396,0.91879,0.06378,0.0031,0.60371,0.88505,0.000289375,0.000289375,0.000289375
65,12045.9,0.97283,0.06358,0.04133,0.58452,0.8865,0.79402,0.74253,0.79943,0.56845,0.81574,0.80696,0.86897,0.865,0.92204,0.0639,0.00257,0.60587,0.8874,0.000281762,0.000281762,0.000281762
