epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
52,11585.8,1.01726,0.06757,0.03887,0.63229,0.89876,0.78696,0.74929,0.80395,0.56745,0.80331,0.8137,0.86857,0.86429,0.90028,0.06421,0.00356,0.62443,0.88109,0.000614915,0.000614915,0.000614915
53,11796.1,1.00342,0.06783,0.04234,0.62618,0.89835,0.78765,0.74594,0.80106,0.56601,0.80723,0.80909,0.86696,0.86231,0.89848,0.06379,0.00209,0.63652,0.88191,0.000594286,0.000594286,0.000594286
54,12010.1,0.9948,0.06704,0.04106,0.62314,0.89728,0.78054,0.759,0.80578,0.56609,0.81026,0.80989,0.87108,0.86684,0.90638,0.06349,0.00239,0.61662,0.88259,0.000573656,0.000573656,0.000573656
55,12225.3,0.99796,0.06805,0.04122,0.61665,0.89717,0.78317,0.75016,0.80048,0.56524,0.81037,0.80746,0.86794,0.86361,0.90667,0.06526,0.00433,0.64174,0.88439,0.000553027,0.000553027,0.000553027
56,12440.1,0.99931,0.06725,0.03965,0.61217,0.89404,0.78707,0.75295,0.80426,0.56933,0.81629,0.80885,0.87163,0.86717,0.89361,0.06603,0.00223,0.62154,0.88046,0.000532398,0.000532398,0.000532398
57,12651.4,0.99095,0.06529,0.03923,0.60594,0.89168,0.79864,0.75053,0.80751,0.57144,0.82402,0.80224,0.87251,0.8681,0.90139,0.06378,0.00223,0.61437,0.88002,0.000511769,0.000511769,0.000511769
58,12859.3,0.98229,0.06572,0.04065,0.60779,0.89517,0.78606,0.75327,0.80236,0.56714,0.80948,0.81124,0.86776,0.8633,0.90198,0.0626,0.003,0.65555,0.88278,0.00049114,0.00049114,0.00049114
59,13067.5,0.99244,0.06577,0.04054,0.60251,0.8928,0.79193,0.74999,0.80814,0.57131,0.81417,0.81025,0.87383,0.86924,0.90053,0.06371,0.00312,0.62238,0.88208,0.000470511,0.000470511,0.000470511
60,13276.4,0.98762,0.06582,0.03887,0.60169,0.89274,0.80067,0.75515,0.81131,0.57553,0.82532,0.80987,0.87525,0.87103,0.89556,0.06218,0.00265,0.59223,0.88094,0.000449882,0.000449882,0.000449882
61,13487.3,0.98005,0.06462,0.0404,0.59985,0.89121,0.79203,0.75089,0.80623,0.56943,0.81845,0.80763,0.87298,0.86811,0.90457,0.0631,0.00249,0.60354,0.88393,0.000429253,0.000429253,0.000429253
62,13695.7,0.97694,0.06444,0.03849,0.5937,0.88755,0.79522,0.75156,0.80894,0.57471,0.81929,0.80951,0.8749,0.87058,0.90171,0.0637,0.00255,0.59898,0.884,0.000408623,0.000408623,0.000408623
63,13904.9,0.97894,0.06397,0.03996,0.59122,0.88849,0.78238,0.75731,0.80511,0.57108,0.80584,0.81573,0.87177,0.86686,0.89944,0.06363,0.00321,0.60416,0.8833,0.000387994,0.000387994,0.000387994
64,14113.9,0.97397,0.06437,0.03867,0.58244,0.88875,0.78623,0.75393,0.80228,0.57026,0.80739,0.81669,0.87057,0.86609,0.90086,0.06318,0.00261,0.59824,0.88358,0.000367365,0.000367365,0.000367365
65,14326.4,0.97676,0.06285,0.03952,0.58144,0.88779,0.78907,0.75872,0.80497,0.57228,0.81576,0.81872,0.87235,0.86785,0.89541,0.06228,0.00269,0.59194,0.8824,0.000346736,0.000346736,0.000346736
66,14535.8,0.95952,0.06351,0.04067,0.57727,0.88559,0.79261,0.75652,0.80415,0.57122,0.8169,0.81567,0.87235,0.86802,0.89815,0.06242,0.00422,0.60211,0.88316,0.000326107,0.000326107,0.000326107
67,14745.6,0.9648,0.06279,0.0387,0.57588,0.88579,0.79491,0.76074,0.8095,0.576,0.83057,0.81788,0.87799,0.87367,0.89612,0.06359,0.00288,0.60784,0.8818,0.000305478,0.000305478,0.000305478
68,14956.1,0.95471,0.06242,0.03777,0.56926,0.88521,0.79396,0.76108,0.80705,0.57465,0.81823,0.82403,0.8755,0.87086,0.89591,0.06401,0.00195,0.59837,0.88314,0.000284849,0.000284849,0.000284849
69,15167.3,0.96267,0.06243,0.03986,0.56862,0.88425,0.79457,0.75086,0.80351,0.57165,0.82359,0.80818,0.87365,0.86914,0.89539,0.06324,0.00343,0.59849,0.88335,0.00026422,0.00026422,0.00026422
70,15375.6,0.96185,0.06262,0.03849,0.56815,0.88391,0.7959,0.75932,0.80787,0.57448,0.81907,0.8189,0.87656,0.87225,0.89459,0.06246,0.00247,0.59967,0.88532,0.00024359,0.00024359,0.00024359
71,15576.9,0.91312,0.05771,0.01725,0.53591,0.8661,0.79312,0.74796,0.80119,0.56714,0.81719,0.8144,0.87075,0.86603,0.89945,0.06323,0.00155,0.59977,0.88633,0.000222961,0.000222961,0.000222961
72,15777.8,0.90382,0.05676,0.01627,0.52141,0.86599,0.79333,0.75693,0.80555,0.57082,0.81989,0.80998,0.87136,0.86675,0.89574,0.06335,0.0009,0.59278,0.88283,0.000202332,0.000202332,0.000202332
73,15978.8,0.90512,0.05639,0.01382,0.5167,0.8646,0.80563,0.75154,0.80609,0.57147,0.82204,0.81524,0.87367,0.86914,0.89653,0.06329,0.00068,0.61073,0.88593,0.000181703,0.000181703,0.000181703
74,16179.5,0.89772,0.05596,0.01323,0.51094,0.86236,0.80084,0.76327,0.80874,0.57435,0.83127,0.81587,0.87564,0.87098,0.89314,0.06277,0.00055,0.59744,0.88342,0.000161074,0.000161074,0.000161074
75,16380.3,0.88903,0.05602,0.01497,0.50727,0.85894,0.80367,0.76141,0.80899,0.57551,0.83399,0.81555,0.87602,0.87171,0.88966,0.06229,0.00057,0.57935,0.88182,0.000140445,0.000140445,0.000140445
76,16580.5,0.88507,0.05518,0.01559,0.50343,0.86183,0.80131,0.76179,0.81019,0.57728,0.82723,0.81941,0.87588,0.87173,0.88748,0.06229,0.0006,0.58068,0.88125,0.000119816,0.000119816,0.000119816
77,16781.5,0.8883,0.05479,0.01452,0.50371,0.85943,0.79783,0.75925,0.80769,0.57507,0.82687,0.81948,0.87522,0.8707,0.89085,0.06192,0.00048,0.59205,0.88386,9.91865e-05,9.91865e-05,9.91865e-05
78,16981.8,0.88102,0.05462,0.01385,0.49815,0.85857,0.80139,0.75879,0.80798,0.57508,0.83232,0.81542,0.8746,0.87027,0.88973,0.06234,0.00054,0.57941,0.88365,7.85574e-05,7.85574e-05,7.85574e-05
79,17180.9,0.87796,0.05417,0.01348,0.49423,0.85846,0.80211,0.76048,0.80901,0.57603,0.82703,0.81971,0.87559,0.87118,0.88684,0.06203,0.00054,0.58173,0.88226,5.79283e-05,5.79283e-05,5.79283e-05
80,17381.5,0.88254,0.05503,0.01502,0.49596,0.85772,0.80322,0.75725,0.80841,0.57471,0.82961,0.81618,0.87488,0.8705,0.88873,0.06224,0.00057,0.58206,0.88303,3.72991e-05,3.72991e-05,3.72991e-05
